County,2018,2022,Abbot Margin
ANDERSON,0.795335909,0.81426099,Improved
ANDREWS,0.824242424,0.862366153,Improved
ANGELINA,0.747637661,0.77828827,Improved
ARANSAS,0.787861915,0.786329219,Did Not
ARCHER,0.902770083,0.909043659,Improved
ARMSTRONG,0.918435754,0.92248062,Improved
ATASCOSA,0.686791523,0.693046697,Improved
AUSTIN,0.816846496,0.821865239,Improved
BAILEY,0.772727273,0.828957239,Improved
BANDERA,0.820400501,0.813645038,Did Not
BASTROP,0.596795387,0.571531199,Did Not
BAYLOR,0.883306321,0.905126243,Improved
BEE,0.672471441,0.678370787,Improved
BELL,0.592108614,0.590065502,Did Not
BEXAR,0.459451644,0.410514306,Did Not
BLANCO,0.747023296,0.759078831,Improved
BORDEN,0.946902655,0.965299685,Improved
BOSQUE,0.830958368,0.840653455,Improved
BOWIE,0.73000106,0.760310054,Improved
BRAZORIA,0.630887706,0.590689128,Did Not
BRAZOS,0.614387234,0.59659072,Did Not
BREWSTER,0.500492368,0.535211268,Improved
BRISCOE,0.892455859,0.910472973,Improved
BROOKS,0.352248394,0.390936255,Improved
BROWN,0.869281046,0.883435083,Improved
BURLESON,0.79618124,0.820321812,Improved
BURNET,0.781551566,0.781819904,Improved
CALDWELL,0.586802828,0.559165346,Did Not
CALHOUN,0.720660347,0.756080114,Improved
CALLAHAN,0.892323031,0.905810862,Improved
CAMERON,0.443898285,0.444775926,Improved
CAMP,0.724839125,0.773788602,Improved
CARSON,0.900529963,0.909356725,Improved
CASS,0.80892215,0.844116762,Improved
CASTRO,0.759133127,0.821165439,Improved
CHAMBERS,0.824433017,0.823843416,Did Not
CHEROKEE,0.794346525,0.830145688,Improved
CHILDRESS,0.87592068,0.892061679,Improved
CLAY,0.888240784,0.903053265,Improved
COCHRAN,0.810014728,0.821428571,Improved
COKE,0.899242424,0.90712743,Improved
COLEMAN,0.886261981,0.908305032,Improved
COLLIN,0.588291009,0.543441371,Did Not
COLLINGSWORTH,0.880724175,0.913513514,Improved
COLORADO,0.787074741,0.80625497,Improved
COMAL,0.754672708,0.729010339,Did Not
COMANCHE,0.846737481,0.870907584,Improved
CONCHO,0.839267548,0.867444327,Improved
COOKE,0.84716097,0.836215334,Did Not
CORYELL,0.708116251,0.711876833,Improved
COTTLE,0.837209302,0.881322957,Improved
CRANE,0.804202483,0.857018309,Improved
CROCKETT,0.727488152,0.7572663,Improved
CROSBY,0.709244884,0.789473684,Improved
CULBERSON,0.428005284,0.53125,Improved
DALLAM,0.877896613,0.912380952,Improved
DALLAS,0.391849946,0.359269641,Did Not
DAWSON,0.744433367,0.829888712,Improved
DEAF SMITH,0.738934535,0.774007465,Improved
